PG.ProteinAccessions,PG.ProteinNames,GAERS_602_SCx,GAERS_601_SCx,GAERS_625_SCx,GAERS_614_SCx,GAERS_628_SCx,GAERS_590_SCx,NEC_601_SCx,NEC_687_SCx,NEC602_SCx,NEC_603_SCx,NEC_688_SCx,NEC_604_SCx
A0A023IKF6;A0A0G2K1E1;A0A0G2K2E1;A0A2P1NRV5;A0A2P1NRX8;D3ZKI0;E9PSS8;F1M9F3;M0R4E9;P79587;P79588;P79600;Q31267;Q6MG38;Q6MGB9;Q861Q2;Q9JHM2;Q9QYQ2,A0A023IKF6_RAT,19543.86133,26000.37695,2462.830566,12748.63184,30061.08008,26601.82617,28916.78711,4850.35791,29342.39648,33744.85547,24377.0625,2605.743652
A0A023IM45;A0A023IMI6;P28064,A0A023IM45_RAT,8508.083984,8418.430664,7991.468262,4334.242676,3415.768311,7399.464844,6820.920898,10499.2793,5055.171387,4586.574219,8149.705566,8530.261719
A0A023IM54;Q99JC6,A0A023IM54_RAT,7797.224609,3530.577881,3787.202148,3892.164795,5233.019531,3698.20166,5194.552246,5000.482422,9061.341797,7222.825684,7468.789063,3527.391846
A0A059NZR0;Q6AXU6,A0A059NZR0_RAT,39524.85938,53223.85547,55649.77734,51422.34375,51168.69531,51457.16406,64541.10156,41305.69922,89921.96875,43358.78516,53248.42969,55660.31641
A0A059NZV6;D3ZDL0;Q5BK20,A0A059NZV6_RAT,3353.139404,6136.634766,3149.534912,15611.5625,14578.20313,13079.59961,3731.352295,3504.782715,22225.59375,15713.76074,3211.898193,7610.126953
A0A068FP44;Q4AE70,A0A068FP44_RAT,47953.16016,51703.01563,47990.62109,41068.82031,46022.09766,52948.78125,52927.34766,48181.56641,44512.89844,43055.53125,44525.01953,49315.32813
A0A096MIV5,A0A096MIV5_RAT,24338.85938,28405.77734,29737.7832,30985.76758,27702.64648,36641.93359,34068.32813,37309.69922,26254.11719,27365.7832,29240.42383,27254.1582
A0A096MIX2;E9PT29,A0A096MIX2_RAT,423211.0938,410676.8125,368850.5,409233.1875,415854.0938,428979.75,390582.6875,381590.8438,376295.4375,433200.5,506921.75,508961.875
A0A096MIZ1,A0A096MIZ1_RAT,77133.875,72617.92188,70359.51563,89223.77344,67914.55469,78381.69531,71554.53906,82364.79688,104224.8281,68630.00781,55719.17969,76980.48438
A0A096MJ11,A0A096MJ11_RAT,46110.56641,48464.80078,40524.05469,43175.13281,57487.85156,48121.52734,60692.80469,43405.88672,35458.57813,65842.65625,64379.70313,48120.02344
A0A096MJ42;Q62936,A0A096MJ42_RAT,200871.0938,185460.125,187744.4844,248941.7031,190472.8125,220224.5156,201461.5625,210419.6719,178729.875,171988.375,178579.0313,183848.25
A0A096MJ78;A0A0G2K3F4;B2GV40,A0A096MJ78_RAT,11497.73438,3585.657715,10994.23145,13799.79883,5152.634277,7950.03418,13041.14063,12498.42578,10025.32227,3326.019043,11409.4209,9164.969727
A0A096MJ90;B5DFM3;F1LNW6,A0A096MJ90_RAT,225949.8594,239516.4219,228095.5781,295994.3125,294352.875,212708.1406,273438.4063,196491.2813,290714,219780.7344,238898.7344,275529.5313
A0A096MJ91;A0A096MJW5;A0A096MJW8,A0A096MJ91_RAT,31280.17188,20207.76367,30277.90039,31838.05859,35237.25391,121564.4141,33284.99609,15536.50879,21769.83984,20892.33008,27447.05273,18051.6543
A0A096MJ99;D4A560,A0A096MJ99_RAT,11341.24023,12615.30566,10942.41504,15865.38281,15737.81641,14727.38574,14007.78125,15785.35156,19949.20117,14701.32617,14591.27344,13887.07227
A0A096MJA9;A0A096MKE0;A0A0G2K2B5,A0A096MJA9_RAT,7667.068359,22952.99023,27339.85156,18076.66992,30215.42578,21193.5918,28876.36523,19072.7793,31377.74023,26856.63672,30764.86133,18835.60742
A0A096MJE3,A0A096MJE3_RAT,14868.73633,20587.44922,11155.15918,17905.80859,12167.28223,24281.99805,19324.72656,10175.83008,21481.09766,21827.24805,15738.97852,19000.55078
A0A096MJE6,A0A096MJE6_RAT,1342539.5,1351993.375,1443121.625,1376508.125,1529350.375,1400940.375,1476034.25,1246618.375,1229256.875,1495229.75,1373859.25,1366676.125
A0A096MJF7;A0A096MJV9;F1LLZ7,A0A096MJF7_RAT,8670.893555,13547.49805,16895.11133,16792.95703,15553.76953,12772.54883,17573.51563,14093.04102,10119.52344,17164.00391,17089.94922,10922.33398
A0A096MJG4;F1LQP7,A0A096MJG4_RAT,126781.4766,125414.4219,143379.7969,150206.1875,128857.5703,160187.75,147392.1406,148415.2344,142609.4063,149495.2813,123719.0547,135287.7188
A0A096MJI4,A0A096MJI4_RAT,10940.22363,15162.92676,37139.04297,26853.25391,46270.79688,41032.1875,15689.67871,43496.21484,39612.04297,25770.92578,32576.98047,9534.743164
A0A096MJJ6;A0FKI7;B1H213,A0A096MJJ6_RAT,20385.60742,14611.36133,21921.07227,18236.01172,19296.01367,14764.74414,24080.08203,18009.04102,27424.0332,3794.742676,14304.26953,19357.48242
A0A096MJL2,A0A096MJL2_RAT,343207.9063,363549.2188,338481.75,359835.75,273576.7188,327583.5625,334101.6875,332897.9688,364125.5313,361344.5938,319776.0938,355018.25
A0A096MJL8;A0A096MJZ8;A0A0G2JTU9;Q499M6,A0A096MJL8_RAT,9136.851563,10753.51465,9960.296875,18134.19727,13809.37402,8531.897461,11886.01367,13675.86035,8964.427734,6341.114746,9554.506836,6370.755859
A0A096MJM1;Q32PX6,A0A096MJM1_RAT,271796.1563,287249.0625,270923.25,248507.8594,253418.5156,268892.5313,211437.8594,240380.9063,201885.1719,298629.2188,230739.0469,243444.4063
A0A096MJN4,A0A096MJN4_RAT,402717.5313,363993.6563,433584.5,343994.5,360353.4688,440140,402764.3438,398278.9063,366334.5938,542360.0625,490751.5313,415532.125
A0A096MJN8;D3ZQ46,A0A096MJN8_RAT,192779.4531,204566.2969,240816.4063,251115.4063,197017.2656,225535.8906,221468.5625,223310.5156,236972.8125,263185.5938,209853.1563,198291.4219
A0A096MJP9,A0A096MJP9_RAT,34777.45703,38256.75,20320.36719,37795.91406,21643.31445,45104.70703,42654.83984,35383.52734,30011.70508,39599.39844,36067.75,36589.12109
A0A096MJS3;A0A096MK47,A0A096MJS3_RAT,7046.622559,11884.1709,18148.02539,15546.77344,13127.37305,9143.104492,15349.16406,13514.3623,7710.85498,5578.144043,12529.32617,10410.28027
A0A096MJT3;A0JN02,A0A096MJT3_RAT,53763.88281,51571.70703,61842.89063,34676.35938,54171.45703,57829.04297,69952.92188,59819.32031,42738.02344,66203.34375,72759.21875,60843.90234
A0A096MJT6,A0A096MJT6_RAT,4097.6875,3608.874023,7090.270508,8103.976074,6506.958984,10356.33105,6277.813965,11173.87207,6276.88916,4304.115723,5574.295898,5164.749512
A0A096MJW6;P59824,A0A096MJW6_RAT,31713.67578,12493.63379,41818.80078,36332.69141,42269.04297,32056.67969,42842.79297,42806.27344,47613.60938,36551.10156,37966.75781,35907.45703
A0A096MJX4,A0A096MJX4_RAT,206601.5781,194398.0313,214981.1563,241205.7344,179641.3906,247062.1406,187238.9219,223383.7344,234224.4063,176449.7188,156727.4063,195545.4219
A0A096MJY1,A0A096MJY1_RAT,12216.96191,9069.890625,10800.87598,10333.40723,20743.10156,10102.0791,7829.942383,7737.34668,10931.60645,5051.833496,9868.634766,3890.868896
A0A096MJY6,A0A096MJY6_RAT,29130.26953,36642.89844,34437.83984,39883.48828,40786.41016,33561.24219,38750.93359,32618.49805,38407.83984,43722.57031,36526.89453,31710.51367
A0A096MJZ0,DNAL1_RAT,40208.20703,43906.75781,45026.09375,49403.82422,41998.08594,55035.34766,56212.42578,63133.60938,65404.1875,50791.48828,55308.82422,44993.92969
A0A096MJZ2,A0A096MJZ2_RAT,4648.795898,3106.346436,5422.178223,5639.95166,6475.0625,5186.954102,4673.689453,7935.302734,4849.71582,5770.995117,3536.134277,4056.715332
A0A096MK06;A0A0G2JYU3,A0A096MK06_RAT,18852.47461,8298.777344,20910.96875,19877.26172,13625.85742,25354.45703,19302.11719,20336.36328,17717.70508,19076.2793,17832.37695,18271.29297
A0A096MK30;A0A1W2Q6E9,A0A096MK30_RAT,55279.67188,80097.60938,63299.04297,71834.125,73007.58594,78758.75,82119.92188,49804.57031,76168.54688,106135.8438,91447.90625,57944.48047
A0A096MK54;G3V9G5;Q810D0,A0A096MK54_RAT,272937.4063,257227.8906,184933.6875,190982.9063,224551.4375,178067.7188,166809.7031,157802.2188,193692.4063,156577.625,154710.5156,216070.2813
A0A096MK58;A0A096MK83;O70454,A0A096MK58_RAT,7965.106445,11585.59473,9298.6875,14149.74316,8948.022461,14013.3584,14393.29785,17085.90625,22335.10156,19683.1875,13822.28027,9582.979492
A0A096MK76;G3V7M5;Q9QZC4,A0A096MK76_RAT,42516.74609,52912.41797,47311.625,43013.78516,56281.04297,48838.36719,48647.60547,48786.94531,48077.42969,47931.44141,51337.375,55405.42188
A0A096MKB0,A0A096MKB0_RAT,25491.80469,28537.4707,29885.10352,31372.4707,33634.26563,33856.32031,33287.73438,30981.49609,36915.25,29747.95898,32174.25195,32787.68359
A0A096MKB2;Q63472,A0A096MKB2_RAT,24173.5,12757.68848,28887.44727,29815.76367,4186.524414,21690.49609,29524.17383,32407.18164,18572.99023,22085.84961,32523.99023,20949.82617
A0A096MKC0;B2RYE6,A0A096MKC0_RAT,4011.527832,10046.59766,10669.43164,14626.4082,5613.630371,20610.51367,4911.854492,14042.31738,7647.895508,14822.88867,13755.96973,12189.18066
A0A096MKE2;D4A719,A0A096MKE2_RAT,368780.9063,353443.1875,375988.9375,381656.7188,318247.625,424222.5313,426832.5938,403932.9688,563341.8125,426813.0938,359845.0625,395120.6875
A0A096MKG5;Q1HCL7,A0A096MKG5_RAT,118905.3203,137710.4688,127050.7813,131603.6719,118520.9453,142212.2656,127659.4297,113933.2344,118281.7969,136254.1094,112168.4609,118937.3906
A0A096MKH2,A0A096MKH2_RAT,341833.5625,336719.625,352359.1563,416927,300955.875,382273.375,362465.5313,410688.9688,390810.375,356764.4063,318575.6563,336326.9688
A0A096MKH4;D4ABY4,A0A096MKH4_RAT,22520.50977,29095.02344,25538.66406,24252.99805,24190.21094,29408.30469,25287.87891,29044.06055,28479.61328,25258.87891,26444.7168,29237.56836
A0A096P6L6;Q9R1K2,A0A096P6L6_RAT,16905.01172,5299.179199,5624.242188,14482.99805,14719.86133,26096.94922,14461.07324,13950.45996,13300.04004,9096.155273,8255.198242,12094.59473
A0A096P6L7;A0A0A0MP84;A0A0H2UHI4;M0R4L3;Q2M2R8,A0A096P6L7_RAT,6566.115234,2973.132324,3635.056885,8817.361328,5263.60498,5019.507813,7248.104492,7876.675293,8431.008789,5994.619629,5972.46582,3687.022949
A0A096P6L8;F1LST1;P04937,A0A096P6L8_RAT,3003.508301,6821.087402,12288.98242,7803.391602,13410.51758,13009.56934,18397.19531,3632.819092,10250.18555,9036.591797,10371.62402,6513.260254
A0A096P6M3;A0A096P6M8;F1LNC5;Q9JIS1,A0A096P6M3_RAT,35426.34766,33349.26563,34077.6875,36005.79688,32053.75195,40847.99609,15459.41992,46507.93359,44333.35156,35245.19141,37786.375,38114.05078
A0A096UWG9,A0A096UWG9_RAT,5190.623535,8042.38623,5526.17627,2777.181885,4881.410156,5625.501953,9301.6875,8736.883789,5060.331055,3199.983887,28160.92969,6485.19873
A0A096XKT2;I6V4L9;P05505;Q7H115;Q8M7G4;Q8SEZ2,A0A096XKT2_RAT,8835.164063,9263.056641,9965.320313,9707.993164,11433.63574,8582.822266,8908.811523,10112.34375,7499.75293,8102.270508,7927.694336,7147.021484
A0A096XKT9;P11661;Q06QA1;Q06QK5;Q8SEZ0,A0A096XKT9_RAT,286577.2813,264249.9688,231984.75,238236.625,260956.9531,253453.0156,200406.6094,246303.0313,217292.2656,257848.9844,205632.7188,251254.7344
A0A096XNM4;A0A097PE40;A0A0A1FZ42;A0A0S1Z1V4;A0A0S1Z1V9;A0A140GE09;A0A140GE10;A0A140GE11;A0A220D9W5;A0A220D9Z3;A0A220D9Z6;A0A220DA02;A0A220DA20;A0A220DA28;A0A220DA44;A0A385HC91;A0A385HC93;A0A385HCC9;A0A385HCK1;A4UHZ2;A4UHZ3;B0M1Q8;B3Y999;C7EMI4;D6NSP0;D6NSP2;D6NSP4;D6NSP5;D6NSP6;D6NSP7;D6NSP8;D6NSQ0;D6NSQ3;D6NSQ6;D6NSQ8;D6NSR1;D6NSR2;D6NSR3;D6NSR7;D6NSR8;D6NSR9;D6NSS6;D6NSS7;E0A016;E0A075;E0A0C7;F2Q6S6;F8QU37;H2KXA0;H6RXT5;L0L4L8;L0N1V8;L0N311;L0N490;L0N495;M9TEK6;P00159;Q06Q99;Q5UAI7;Q8HIC4;Q8SEY9;Q9G898;R9TKN1;S5RKC8;U3M4V1,A0A096XNM4_RAT,283146.5313,243950.0156,252857.1094,242034.0781,225931.3594,310895.0625,187782.9219,290399.5625,332247.5313,277334.0313,234101.75,235692.9063
A0A097PE04;P00406;Q8SEZ5;S5RZM8,A0A097PE04_RAT,127325.9609,199860.9688,155059.8594,147915.1094,132318.5781,314418.2188,137375.7656,144375.4219,151507.4219,214332.7969,100840.25,107265.8438
A0A0A0MXV4;P47820,A0A0A0MXV4_RAT,7030.669434,4028.090576,5826.913086,7159.113281,4507.609375,4358.521484,4841.855957,6450.293457,4754.802734,4432.829102,7339.838867,4235.933105
A0A0A0MXV8;O88871,A0A0A0MXV8_RAT,93717.42188,91896.58594,87226.47656,97513.23438,89142.48438,86421.17188,97063.45313,104671.3516,90314.02344,76776.20313,80694.75,91706.96875
A0A0A0MXW1;B0BNK6;P35738,A0A0A0MXW1_RAT,59681.16797,66014.08594,66692.30469,63167.83203,60315.98828,61079.72266,70355.5625,62585.61328,61218.93359,68764.34375,65795.92969,67914.9375
A0A0A0MXW3;D4AEC0;P0C0S7,A0A0A0MXW3_RAT,385827.2188,458929.0313,428092.3438,447983.6875,458199.1563,556400,498707.4375,440980.5,641634.0625,506006.9375,434238.5938,408335.875
A0A0A0MXX1;Q6JP77,A0A0A0MXX1_RAT,13736.50586,13235.14063,18596.36914,26448.33203,19706.96875,15494.25195,19025.27734,23444.35938,34350.1875,18707.61914,20706.97852,18741.62891
A0A0A0MXX5;D4A1J4,A0A0A0MXX5_RAT,3236.527344,5421.469727,3211.11377,8161.723633,4716.177734,3320.04248,5090.001465,2594.356445,4435.583984,6560.439941,4447.14209,6678.479004
A0A0A0MXY3;Q62763,A0A0A0MXY3_RAT,48767.42969,57656.25,61933.40234,54807.07031,67726.15625,62433.03516,66934.64844,51752.65625,58388.47266,66887.32813,64738.62891,58799.22266
A0A0A0MXY4;A0A0G2JU73;A0A1W2Q676;F1LP64,A0A0A0MXY4_RAT,35948.47656,17861.44141,36817.63672,30438.57227,33179.625,36214.69531,41150.40234,33688.03516,29465.52148,42593.67969,42068.74609,30091.83984
A0A0A0MXZ0;Q80W96,A0A0A0MXZ0_RAT,31420.5625,24968.50586,29422.85352,27661.2832,30746.94922,30215.26172,25157.13281,27582.48438,27226.17578,22540.48828,20564.39258,27647.50781
A0A0A0MXZ8;D3ZLZ7,A0A0A0MXZ8_RAT,6811.850586,3722.085938,7252.208496,5072.649902,6361.662598,14701.2334,61021.75781,113519.0859,71074.94531,57573.38281,94662.52344,40881.99609
A0A0A0MY00;P70584,A0A0A0MY00_RAT,4370.383301,7402.671387,5073.941895,4300.605957,9266.335938,5178.033203,2733.30957,3347.4104,2528.253418,5981.408203,3499.323242,5574.609863
A0A0A0MY07;Q9R085,A0A0A0MY07_RAT,46283.86719,42774.82031,37762.63672,39374.58594,43030.09766,55734.95703,46043.10547,53611.34766,47152.23438,53277.72656,50401.59375,43595.10547
A0A0A0MY09;Q66HD0,A0A0A0MY09_RAT,1871150.25,1979179.75,1865314.375,1651260.125,1765553,1926103.125,2090633.125,1844202.875,1625139.625,1790660.125,1705485.375,1679029.875
A0A0A0MY13;D4A6L0,A0A0A0MY13_RAT,613275.6875,514692.0625,589279.625,671572.5,483897.0625,529331.8125,542027.625,602072.3125,561052.5625,486270.0313,529051.1875,580035.875
A0A0A0MY16;A0A0G2K5U6;Q1WIM2,A0A0A0MY16_RAT,1024016.625,1044968.5,1090372,1361874.5,1171481.5,1066424,983077.4375,1323660.75,1401337,914076.5,998854.5625,1073654.875
A0A0A0MY22,A0A0A0MY22_RAT,7633.512695,10300.87988,11102.6875,13754.65234,9226.063477,16268.14063,10662.57422,13436.40625,15881.71875,8935.862305,11145.07324,9241.046875
A0A0A0MY31;C7E1V2;F1LNT1;F1LQX8;P29994,A0A0A0MY31_RAT,220344.3906,202624.5156,224791.5938,211102.9844,201234.5156,211498.3281,214513.75,234402.8281,200384.0625,173919.4531,214020.3281,189322.6406
A0A0A0MY39;Q9QYJ4,A0A0A0MY39_RAT,113148.3359,128745.8125,121347.1328,75367.67969,87458.375,91369.55469,89301.52344,103049.1875,77651.24219,71225.60938,92285.92188,89902.5
A0A0A0MY48;A0A0A0MY49;P39052,A0A0A0MY48_RAT,770269.1875,709504.5625,851676.1875,871739.125,874868.3125,782121.5625,836903.1875,839652.875,662352.1875,723811.75,777271.5,837745.375
A0A0A1FZ34;P05503;Q06QA9;Q06QK0;Q8HIC9;Q8SEZ6;Q95938,A0A0A1FZ34_RAT,541794.9375,594274.3125,460824.5938,367511.0938,549003.3125,511532.5625,392629.3125,495780.75,507183.125,542002.9375,599837.6875,543282.9375
A0A0A1FZ38;P05506;Q06QG9;Q8SEZ1,A0A0A1FZ38_RAT,778827.1875,705701.9375,786328.1875,859470.9375,760559.625,853547.875,704706.75,893839.625,863564.4375,746316.0625,792921.5625,786712.4375
A0A0A6YYM0,A0A0A6YYM0_RAT,57577.47656,54110.98438,61713.75781,54957.74609,54358.04297,59855.51563,54905.82813,70647.61719,49225.04297,50745.14844,68872.21875,51031.80859
A0A0C5AMK0;F1LYL9,A0A0C5AMK0_RAT,783488.5,740252.6875,720362.875,725690.625,724220,842608.625,877830.375,802619.0625,847790.1875,801472.9375,720006.125,859640.5
A0A0F7R4W9;D3ZJ25;Q9Z1J7,A0A0F7R4W9_RAT,6571.978516,3591.016602,6996.82959,5717.180176,6593.85791,10209.34766,7346.579102,6146.71582,8772.324219,2527.384033,6860.977051,2895.715088
A0A0F7R5I4;Q76GL9,A0A0F7R5I4_RAT,558192.8125,590966.125,540169.75,637378.125,544416.4375,545941.1875,620060.3125,574909.1875,545708.3125,534956,527502.6875,546148.5
A0A0F7RQJ6;P80254,A0A0F7RQJ6_RAT,1520973,1752567.625,1621689.125,1379897.125,1529292.625,1252243.75,1689467.625,1617258.5,2444181.25,1464315.75,1645957.125,1794472.75
A0A0F7RQL3;P30904,A0A0F7RQL3_RAT,2963519.5,3172286,3010864,2211938.75,3482926.75,2102912.25,2472862.25,2117998.5,2599241.25,3381801.5,3433133.75,2986288.5
A0A0G2JSG6,A0A0G2JSG6_RAT,76053.61719,68225.25781,70942.89063,84119.63281,69713.27344,77291.72656,71004.14844,82732.875,69099.13281,73149.84375,68049.71875,68677.79688
A0A0G2JSH2;P29147,A0A0G2JSH2_RAT,892855.9375,791493.625,912027.4375,774220.625,782965.5,887615.5625,934401,972944,899396.625,803652.8125,796820.4375,896593.1875
A0A0G2JSH4;P18266,A0A0G2JSH4_RAT,217894,206752.4531,226094.0469,218477.1875,199360.8906,225469.2031,210612.2813,225373.6563,169479.9063,265900,231374.7813,199219.2031
A0A0G2JSH9,A0A0G2JSH9_RAT,3572299.5,3552221.75,3485144.5,3953783,3295989.5,3393232,3641185.5,3794106.75,3572348.25,3231811.75,3563949.75,3229120.25
A0A0G2JSI1,A0A0G2JSI1_RAT,265203.9063,289787.5938,272832.0313,259176.8594,305645.6563,264495.8125,236440.5469,187317.7656,210715.3125,207821.9219,219389.6563,192762.2969
A0A0G2JSJ2;Q4KM73,A0A0G2JSJ2_RAT,572310,596792.75,572271.4375,351493.9063,395547.75,466858.9063,554117.1875,955500.0625,1235622.5,1213715.25,1075515.5,572663.6875
A0A0G2JSJ3;A0A0G2JVB0;Q07647,A0A0G2JSJ3_RAT,615891.3125,540894.5625,561692.75,556169.875,562835.1875,656083.9375,597248.0625,584322.875,529401.875,553834.4375,539649.9375,555798.875
A0A0G2JSJ8;P17164,A0A0G2JSJ8_RAT,42484.62109,33049.33203,8653.984375,34066.80859,36402.33984,16162.9707,10123.63574,31756.83594,34700.85938,31759.02734,9478.806641,33502.46484
A0A0G2JSK5,A0A0G2JSK5_RAT,129197.4219,124551.2109,125833.5469,121409.4063,126043.7422,135196.375,133364.75,125125.7734,142739.625,134317.3125,120419.6094,120276.9844
A0A0G2JSL0;P28073,A0A0G2JSL0_RAT,87383,86605.74219,83916.84375,97474.02344,104291.3516,101156.9141,81277.8125,126758.0234,106652.0781,110071.8281,90786.3125,95435
A0A0G2JSL2,A0A0G2JSL2_RAT,107637.7891,110016.1797,99856.49219,123303.3906,107962.3594,115639.1875,100101.7188,113257.5156,127806,96460.875,101265.5078,111566.5547
A0A0G2JSL4;D3ZLW4;P49816,A0A0G2JSL4_RAT,21527.16211,17574.73242,24405.57617,22291.6582,15269.89844,25777.07813,26674.8457,22780.24414,22428.46289,20552.77734,17990.41797,7966.70752
A0A0G2JSL8;A0A0G2K6X9,A0A0G2JSL8_RAT,190042.8281,175644.2813,166606.625,192117.625,165651,195893.0625,182296.2344,228427.5,224368.6563,226271.9063,179950.7031,181805.9375
A0A0G2JSM2,A0A0G2JSM2_RAT,22658.91406,14798.85645,15483.34375,24485.85938,20671.1582,22499.86914,25677.32422,20599.13672,28566.25781,23355.7207,19267.03711,25635.12305
A0A0G2JSM8,A0A0G2JSM8_RAT,833490.5,826662.1875,822822.4375,806489,839032.25,774483.6875,834791.125,790726,843734.5,864292.5625,931738.875,856506.5625
A0A0G2JSN5;A0A0G2JSW5;Q62897,A0A0G2JSN5_RAT,11958.33398,16135.05762,18807.79688,17969.24219,20265.29102,12126.13965,7753.709473,10002.20898,6070.59375,6875.476074,15289.56348,15847.4375
A0A0G2JSP8;P00564,A0A0G2JSP8_RAT,8225.030273,8540.418945,7725.601563,3727.682617,8975.540039,44265.82422,14072.84668,8597.000977,7310.975098,26653.86914,13045.53223,6300.123535
A0A0G2JSQ0,A0A0G2JSQ0_RAT,77061.15625,86017.21094,76452.38281,81189.72656,74518.03906,85873.04688,85608.45313,85891.15625,81746.95313,80076.03906,16376.40332,70996.4375
A0A0G2JSQ1;Q63754,A0A0G2JSQ1_RAT,2327544.75,2675403.5,2453150,2197964,2616880.75,2184143,2403587.5,2114130.75,3378869.5,1963143.75,2227595.5,2889526.5
A0A0G2JSR0;Q9R1Z0,A0A0G2JSR0_RAT,3546724.75,3567185,3460931,2703393.25,3237423.25,2930089,3330784.5,2815306.25,2855546.5,2599342.5,3260138.75,3365201.5
A0A0G2JSR1;A0JPQ9;Q7TP14,A0A0G2JSR1_RAT,49626.48047,58749.61328,50821.07813,59670.20703,66353.71094,72807.42188,63527.29297,58698.14063,75924.94531,65643.48438,49373.00781,58266.89844
A0A0G2JSR2;B1AC44,A0A0G2JSR2_RAT,86620.75,92696.15625,82468.17188,93049,97776.25781,93705.65625,82948.9375,92549.72656,81495.61719,72084.21875,75193.14063,73693.40625
A0A0G2JSR4;A0A0G2JXI4,A0A0G2JSR4_RAT,6971.32373,7060.143066,4496.883789,3412.851807,2616.88501,6524.947754,2828.146484,2656.419922,5996.348145,6137.793945,4409.570313,8755.382813
A0A0G2JSR6;P43425,A0A0G2JSR6_RAT,69023.92969,61951.38672,63423.41797,33541.70703,80869.53125,72035.67188,60462.26172,57644.32031,63558.76563,30669.62695,33676.27734,63354.30469
A0A0G2JSR7,A0A0G2JSR7_RAT,587562.875,560825.9375,562333.0625,504288.8125,554293,579328.6875,671078.375,557988.5625,485843.2188,674543.6875,721692.5625,600775.75
A0A0G2JSS1;Q9Z1Z6,A0A0G2JSS1_RAT,10750.24902,6639.383301,3855.678955,19745.70703,15837.63477,7755.330566,3298.470947,20142.29102,21359.77539,4586.396973,3780.815918,6727.26123
A0A0G2JSS8;Q9R063,A0A0G2JSS8_RAT,2644722.5,2724549.25,2821562.5,2341097.25,2417106.25,2883960,2809078.25,3003937.5,3753374.5,3338349.75,3274055.5,2625714.25
A0A0G2JSS9,A0A0G2JSS9_RAT,34988.9375,37935.20703,35051.5625,25341.37305,27136.59961,37408.75391,34633.57813,28932.00391,21281.49414,45645.34766,41213.05859,31517.53906
A0A0G2JST3;Q6IMF3,A0A0G2JST3_RAT,743023.3125,576800.125,323662.0938,746170.0625,460031.8438,423763.9688,673119.9375,355483.0313,362393.7813,783381.8125,377004.0625,1235152.75
A0A0G2JSU3;B0BMV1;D3ZC07;Q63945,A0A0G2JSU3_RAT,91432.57031,90085.32813,81862.09375,106740.4063,94252.82813,79013.03906,93057.33594,102142.4609,137470.5313,83495.26563,92510.32031,101147.875
A0A0G2JSU4,A0A0G2JSU4_RAT,1354761.25,1516621.875,1460204.5,1433750.125,1049707,1405969.875,1510831.375,1668688.125,1521158,1622301.125,1294514.5,1672471.625
A0A0G2JSU7;O89038,A0A0G2JSU7_RAT,6565.471191,886.7133179,1384.905029,1911.190063,392.592804,2509.363037,1531.830566,572.6663818,6400.66748,2529.88916,6854.183594,2484.182617
A0A0G2JSV2,A0A0G2JSV2_RAT,11351.54785,3001.055664,8560.482422,9430.220703,13958.03418,2350.124268,7284.149414,6308.625977,6094.250488,10322.22852,6348.606445,6607.500977
A0A0G2JSV6,A0A0G2JSV6_RAT,6027.855469,13419.82617,10117.9209,10080.03516,13370.08984,13458.90723,16639.15234,9025.527344,15136.64453,13842.03809,13347.47949,10255.33008
A0A0G2JSW0;P18666,A0A0G2JSW0_RAT,785300.9375,814926.3125,847428.375,1035725.125,820723.625,896350.0625,903982.375,893894.3125,1225857.125,850786.375,832798.375,842452.5625
A0A0G2JSW1;D4A2I4;Q6QI25,A0A0G2JSW1_RAT,6717.041504,7771.000977,11462.49316,17125.55859,8971.319336,7586.319336,3162.045166,10190.2998,13120.45898,9191.407227,2744.832764,6266.36084
A0A0G2JSW3,A0A0G2JSW3_RAT,4730066.5,3252439,3126190.75,2865550.75,3534425.5,2633396.25,11307.04883,24193.78125,25834.48828,7249.575195,44047.46094,6096.669922
A0A0G2JSY2;F1LPH1;P27321,A0A0G2JSY2_RAT,56004.06641,53580.79688,44800.05859,42449.51953,50189.86719,60481.51563,46111.09766,49637.25781,87557.33594,54791.46094,66853.85938,60833.33984
A0A0G2JSY3;A0A0G2JVK4;P42676,A0A0G2JSY3_RAT,198189.3438,218384.4063,217964.2969,211347.7656,210586.5469,215758.6563,210006.6406,193384.4219,189406.625,231419.8438,192778.4531,206694.875
A0A0G2JSY5;Q4V8D7,A0A0G2JSY5_RAT,5202.299805,2842.605713,5538.606934,852.3684082,8329.911133,8036.481445,9280.811523,8717.275391,5071.713379,3192.802002,5431.067383,722.0900879
A0A0G2JSZ0;D3ZWK0;Q8VGC3,A0A0G2JSZ0_RAT,233763.625,203015.1406,208755.375,222957.9531,217743.5625,260986.625,220568.9219,255534.7656,235714.2344,228408.7344,212477.5,239467.7031
A0A0G2JSZ1;Q6GQP4,A0A0G2JSZ1_RAT,70059.375,84673.69531,71796.75781,73070.26563,70561.60156,79705.28125,78655.29688,71195.88281,77208.39063,67115.32813,70403.25,76148.34375
A0A0G2JSZ5;Q63081,A0A0G2JSZ5_RAT,653449.4375,700647.9375,655852.625,677949.375,675697.0625,695371.8125,783879.0625,621171.8125,621211.9375,606836.6875,618240.6875,627406.4375
A0A0G2JSZ9;B9TSW3;E9PSS2;Q9JK72,A0A0G2JSZ9_RAT,68261.10938,60849.98438,65736.59375,78919.00781,71933.19531,72062.28125,91878.03906,79482.14063,114161.5703,89132.71094,89936.375,77098.16406
